ShotID,Time,aX,aY,aZ,gX,gY,gZ
2,100,0.459,-0.549,-0.996,-26.428,-57.495,-75.134
2,101,0.472,-0.622,-0.944,-3.967,-62.683,-69.397
2,102,0.480,-0.690,-0.905,18.616,-71.472,-62.134
2,103,0.484,-0.747,-0.867,40.283,-82.947,-53.406
2,104,0.484,-0.789,-0.827,58.594,-95.337,-44.067
2,105,0.479,-0.811,-0.782,75.256,-104.919,-34.424
2,106,0.465,-0.821,-0.734,90.027,-109.985,-24.658
2,107,0.449,-0.825,-0.689,101.501,-109.375,-15.198
2,108,0.427,-0.822,-0.652,108.826,-103.638,-6.287
2,109,0.404,-0.818,-0.625,111.023,-94.910,1.587
2,110,0.380,-0.817,-0.612,107.422,-84.961,9.216
2,111,0.357,-0.815,-0.601,99.182,-74.341,16.968
2,112,0.337,-0.812,-0.599,87.646,-63.354,24.475
2,113,0.319,-0.807,-0.598,73.608,-52.124,31.006
2,114,0.304,-0.797,-0.599,58.228,-40.039,36.865
2,115,0.291,-0.786,-0.601,42.725,-27.039,41.626
2,116,0.282,-0.772,-0.606,27.283,-12.878,44.617
2,117,0.278,-0.757,-0.614,11.353,1.587,45.532
2,118,0.278,-0.740,-0.627,-3.601,15.625,43.701
2,119,0.286,-0.726,-0.646,-17.273,27.588,39.124
2,120,0.297,-0.709,-0.668,-29.724,35.645,32.227
2,121,0.312,-0.694,-0.691,-40.100,41.565,23.743
2,122,0.328,-0.679,-0.709,-49.744,45.471,13.306
2,123,0.344,-0.666,-0.731,-58.350,48.523,2.197
2,124,0.356,-0.654,-0.752,-66.406,51.331,-8.972
2,125,0.369,-0.645,-0.774,-73.242,53.711,-19.897
2,126,0.380,-0.632,-0.798,-77.759,55.237,-29.419
2,127,0.390,-0.622,-0.820,-78.674,56.152,-36.438
2,128,0.400,-0.605,-0.841,-77.393,56.580,-40.833
2,129,0.408,-0.584,-0.859,-74.829,56.946,-42.480
2,130,0.414,-0.559,-0.879,-70.435,57.861,-40.771
2,131,0.421,-0.531,-0.897,-63.171,59.021,-35.583
2,132,0.427,-0.502,-0.919,-53.040,59.875,-27.283
2,133,0.431,-0.466,-0.942,-41.443,59.692,-15.442
2,134,0.428,-0.432,-0.962,-29.968,58.289,-2.319
2,135,0.414,-0.391,-0.979,-19.409,55.664,11.292
2,136,0.391,-0.351,-0.991,-10.254,50.720,25.024
2,137,0.357,-0.316,-0.998,-2.258,43.884,36.926
2,138,0.314,-0.285,-1.001,3.845,36.133,46.387
2,139,0.267,-0.264,-1.005,8.057,27.954,51.758
2,140,0.223,-0.251,-1.012,10.498,19.836,52.429
2,141,0.188,-0.247,-1.018,12.146,12.634,48.584
2,142,0.164,-0.249,-1.025,11.658,6.714,40.833
2,143,0.149,-0.254,-1.022,9.399,2.197,29.785
2,144,0.149,-0.265,-1.013,5.615,-0.732,15.625
2,145,0.162,-0.283,-0.990,0.732,-2.563,1.221
2,146,0.194,-0.308,-0.965,-3.174,-5.005,-11.292
2,147,0.235,-0.342,-0.950,-4.883,-9.155,-21.606
2,148,0.276,-0.384,-0.946,-5.188,-14.465,-29.053
2,149,0.315,-0.431,-0.942,-4.578,-19.897,-33.142
2,150,0.342,-0.472,-0.932,-3.601,-24.414,-33.752
2,151,0.359,-0.506,-0.910,-1.099,-27.527,-30.884
2,152,0.367,-0.536,-0.878,2.319,-28.748,-26.123
2,153,0.366,-0.559,-0.844,6.531,-28.809,-20.142
2,154,0.364,-0.583,-0.815,11.475,-28.442,-13.489
2,155,0.359,-0.603,-0.794,16.174,-28.076,-7.080
2,156,0.357,-0.625,-0.782,20.020,-27.954,-1.587
2,157,0.353,-0.643,-0.774,23.010,-27.710,2.930
2,158,0.352,-0.659,-0.766,24.231,-26.917,6.714
2,159,0.349,-0.665,-0.756,24.231,-25.269,10.071
2,160,0.346,-0.672,-0.746,23.743,-22.522,12.207
2,161,0.342,-0.675,-0.736,22.705,-18.494,12.939
2,162,0.336,-0.676,-0.730,20.508,-14.282,12.695
2,163,0.331,-0.679,-0.724,18.188,-10.315,12.085
2,164,0.325,-0.678,-0.724,14.465,-6.531,10.620
2,165,0.320,-0.678,-0.724,10.315,-3.418,8.423
2,166,0.316,-0.674,-0.726,5.676,-1.221,6.042
2,167,0.318,-0.667,-0.735,1.099,1.343,3.113
2,168,0.322,-0.658,-0.748,-3.113,4.578,0.610
2,169,0.329,-0.645,-0.761,-6.531,8.240,-1.099
2,170,0.337,-0.626,-0.774,-9.644,11.292,-2.808
2,171,0.342,-0.608,-0.783,-12.390,13.672,-4.211
2,172,0.346,-0.586,-0.793,-14.404,15.747,-5.493
2,173,0.350,-0.567,-0.803,-14.954,16.785,-6.226
2,174,0.351,-0.548,-0.816,-14.709,17.029,-5.554
2,175,0.353,-0.533,-0.835,-13.367,17.212,-3.845
3,0,0.375,-0.469,-0.800,-22.461,-19.958,2.197
3,1,-0.094,0.170,0.194,-143.494,-31.860,-0.793
3,2,-0.096,0.046,0.109,-18.677,-18.799,0.427
3,3,0.201,-0.251,-0.431,61.279,0.671,1.709
3,4,0.367,-0.816,-1.211,112.671,24.231,-3.479
3,5,-0.062,0.148,0.201,80.872,29.358,-0.916
3,6,-0.183,0.167,0.213,2.869,71.960,2.319
3,7,-0.313,0.249,-0.144,-77.820,104.309,-15.381
3,8,0.010,-0.851,-2.071,145.020,102.783,-62.317
3,9,0.711,-3.839,-4.000,513.855,29.846,-32.898
3,10,0.464,-0.529,-1.111,-65.369,-250.916,146.301
3,11,0.449,0.005,-0.103,-191.833,-239.441,135.742
3,12,0.708,-0.108,-0.317,-160.400,-93.567,27.466
3,13,1.397,-0.295,-0.994,-177.246,63.782,-36.682
3,14,1.828,-0.254,-1.241,-274.414,204.285,9.094
3,15,1.718,-0.239,-1.060,-360.046,297.302,42.969
3,16,0.648,0.217,-0.086,-452.393,298.828,-38.208
3,17,0.468,0.066,-0.098,-391.968,176.758,-85.144
3,18,0.238,0.224,0.122,-232.544,23.132,-73.059
3,19,0.154,0.279,0.235,-134.460,-116.943,-31.494
3,20,0.071,0.231,0.260,-6.348,-261.230,-22.888
3,21,-0.125,0.104,0.096,241.272,-380.920,-47.241
3,22,-0.341,-0.019,-0.275,527.527,-438.049,-53.955
3,23,-0.412,-0.314,-0.764,767.273,-420.105,-17.761
3,24,-0.304,-1.071,-1.728,766.052,-354.858,43.213
3,25,0.061,-2.610,-3.988,549.927,-295.654,88.379
3,26,0.150,-1.096,-2.098,127.808,-263.733,98.694
3,27,0.122,-0.690,-1.056,-100.525,-74.402,23.743
3,28,0.081,-0.514,-0.733,-171.082,202.576,-22.583
3,29,0.045,-0.132,-0.435,-298.035,407.166,37.964
3,30,-0.069,0.231,-0.203,-248.474,496.216,140.442
3,31,-0.267,0.313,-0.470,148.376,501.526,147.339
3,32,-0.302,0.016,-1.574,763.611,410.889,78.430
3,33,0.247,-0.751,-2.815,990.356,235.352,42.358
3,34,0.865,-1.022,-2.817,467.529,-0.061,-49.011
3,35,0.796,-0.284,-1.547,-412.964,-214.600,-198.242
3,36,0.510,-0.022,-0.779,-732.300,-309.570,-324.829
3,37,0.065,-0.001,-0.203,-539.246,-311.523,-366.028
3,38,-0.001,-0.141,-0.116,-284.363,-309.509,-298.889
3,39,0.355,-0.290,-0.111,-108.093,-303.467,-243.347
3,40,1.177,-0.471,-0.178,-50.171,-205.933,-225.159
3,41,1.864,-0.880,-0.348,67.627,22.095,-224.426
3,42,0.802,-0.776,-0.471,272.888,278.809,-176.697
3,43,0.428,-0.422,-0.272,82.275,332.825,-59.937
3,44,0.505,-0.295,-0.250,-110.474,283.691,30.457
3,45,0.689,-0.327,-0.332,-121.826,245.972,63.904
3,46,0.617,-0.356,-0.352,-63.293,213.867,48.523
3,47,0.680,-0.530,-0.594,-31.250,150.391,26.611
3,48,0.762,-0.716,-0.863,-20.996,52.063,64.697
3,49,0.746,-0.754,-0.951,-60.791,-62.134,150.513
3,50,0.705,-0.735,-0.976,-133.057,-151.550,218.323
3,51,0.585,-0.726,-0.966,-180.054,-183.777,235.046
3,52,0.381,-0.715,-0.951,-183.105,-160.034,229.675
3,53,0.234,-0.731,-1.010,-137.146,-112.671,247.070
3,54,0.169,-0.698,-1.092,-30.945,-61.462,295.532
3,55,0.161,-0.691,-1.254,135.681,-6.592,342.590
3,56,0.182,-0.739,-1.418,250.671,47.607,359.924
3,57,0.111,-0.608,-1.260,211.670,83.801,337.891
3,58,-0.033,-0.465,-1.034,113.770,97.290,279.175
3,59,-0.153,-0.347,-0.871,38.940,95.276,205.994
3,60,-0.191,-0.261,-0.748,4.761,88.074,148.376
3,61,-0.114,-0.250,-0.748,6.653,78.979,115.906
3,62,0.005,-0.290,-0.888,8.667,59.875,75.073
3,63,0.068,-0.341,-1.054,-12.878,29.114,5.188
3,64,0.091,-0.369,-1.148,-42.542,-2.319,-65.613
3,65,0.145,-0.371,-1.110,-61.096,-24.292,-109.253
3,66,0.236,-0.352,-1.006,-71.533,-30.518,-138.855
3,67,0.291,-0.349,-0.897,-77.332,-24.963,-176.941
3,68,0.327,-0.374,-0.855,-91.431,-16.846,-218.079
3,69,0.389,-0.428,-0.881,-108.398,-9.460,-241.821
3,70,0.476,-0.483,-0.904,-117.249,-5.371,-244.385
3,71,0.568,-0.529,-0.909,-106.812,-4.944,-233.215
3,72,0.633,-0.566,-0.890,-71.350,-6.653,-213.684
3,73,0.658,-0.574,-0.840,-20.752,-9.338,-180.542
3,74,0.665,-0.562,-0.781,29.236,-11.902,-133.301
3,75,0.627,-0.537,-0.701,61.707,-14.099,-81.787
3,76,0.574,-0.517,-0.637,56.091,-14.648,-40.955
3,77,0.501,-0.510,-0.603,20.935,-12.451,-13.977
3,78,0.432,-0.533,-0.627,-10.254,-11.719,12.207
3,79,0.386,-0.586,-0.708,-20.142,-13.184,45.654
3,80,0.359,-0.637,-0.805,-12.878,-12.634,78.857
3,81,0.343,-0.674,-0.886,6.348,-8.728,101.868
3,82,0.324,-0.675,-0.922,22.522,-1.404,114.502
3,83,0.304,-0.625,-0.893,24.719,8.911,119.873
3,84,0.285,-0.563,-0.840,19.592,20.752,117.065
3,85,0.263,-0.507,-0.788,14.099,29.968,103.699
3,86,0.247,-0.490,-0.776,11.719,32.166,82.275
3,87,0.243,-0.496,-0.802,8.179,25.146,57.922
3,88,0.257,-0.510,-0.843,3.723,12.390,33.020
3,89,0.291,-0.524,-0.889,-0.916,0.061,7.812
3,90,0.320,-0.525,-0.901,-4.028,-6.348,-16.663
3,91,0.344,-0.522,-0.893,-6.531,-6.592,-36.987
3,92,0.360,-0.507,-0.858,-10.620,-3.845,-51.025
3,93,0.372,-0.495,-0.822,-12.939,-2.136,-59.570
3,94,0.385,-0.497,-0.806,-12.268,-3.174,-63.232
3,95,0.398,-0.500,-0.804,-9.094,-5.676,-60.730
3,96,0.410,-0.507,-0.815,-6.165,-7.996,-50.903
3,97,0.417,-0.510,-0.827,-2.014,-7.935,-35.767
3,98,0.418,-0.512,-0.838,1.160,-4.883,-18.311
3,99,0.405,-0.512,-0.847,2.319,-0.549,-1.221
3,100,0.385,-0.507,-0.857,0.000,4.517,13.489
3,101,0.355,-0.498,-0.851,-2.197,9.094,25.024
3,102,0.329,-0.482,-0.846,-2.136,10.864,32.288
3,103,0.320,-0.482,-0.856,-1.648,11.658,35.156
3,104,0.317,-0.480,-0.859,0.610,11.108,33.630
3,105,0.316,-0.485,-0.865,2.441,8.911,27.893
3,106,0.316,-0.485,-0.864,2.686,5.737,18.677
3,107,0.325,-0.494,-0.870,2.258,1.892,7.141
3,108,0.337,-0.493,-0.853,0.732,-1.282,-3.967
3,109,0.360,-0.506,-0.849,0.854,-3.174,-12.878
3,110,0.372,-0.508,-0.833,1.892,-4.456,-18.494
3,111,0.378,-0.519,-0.824,2.563,-5.127,-20.874
3,112,0.380,-0.526,-0.816,3.540,-5.920,-20.020
3,113,0.380,-0.541,-0.817,4.272,-6.897,-16.541
3,114,0.373,-0.542,-0.809,4.578,-6.775,-10.925
3,115,0.365,-0.547,-0.808,3.418,-4.517,-3.418
3,116,0.359,-0.551,-0.815,1.892,-0.732,3.540
3,117,0.349,-0.550,-0.820,0.244,4.028,9.399
3,118,0.343,-0.548,-0.828,-0.671,7.751,13.611
3,119,0.342,-0.539,-0.829,-1.465,8.240,15.564
3,120,0.341,-0.528,-0.825,-1.587,7.080,14.648
3,121,0.345,-0.517,-0.828,-2.075,5.676,11.780
3,122,0.352,-0.512,-0.832,-0.671,5.066,6.592
3,123,0.358,-0.506,-0.836,-0.671,3.845,1.221
3,124,0.364,-0.504,-0.840,0.488,1.892,-3.357
3,125,0.369,-0.502,-0.844,1.343,-0.488,-7.141
3,126,0.370,-0.502,-0.844,2.502,-2.136,-9.583
3,127,0.367,-0.504,-0.843,2.869,-2.930,-9.827
3,128,0.363,-0.505,-0.842,2.686,-2.686,-8.118
3,129,0.354,-0.504,-0.837,2.625,-2.258,-4.822
3,130,0.346,-0.505,-0.837,2.258,-1.038,-1.160
3,131,0.342,-0.509,-0.843,1.648,0.610,2.686
3,132,0.339,-0.507,-0.844,0.244,2.747,6.042
3,133,0.342,-0.510,-0.850,-0.732,4.761,8.423
3,134,0.343,-0.510,-0.849,-0.366,5.493,9.094
3,135,0.347,-0.507,-0.845,-0.732,4.883,8.484
3,136,0.354,-0.505,-0.838,-0.854,4.089,6.104
3,137,0.361,-0.506,-0.833,-0.305,2.808,2.686
3,138,0.368,-0.509,-0.829,0.732,1.099,-0.732
3,139,0.370,-0.516,-0.828,1.770,-0.244,-2.991
3,140,0.370,-0.523,-0.830,2.869,-1.892,-4.822
3,141,0.368,-0.528,-0.828,3.113,-2.747,-5.676
3,142,0.364,-0.535,-0.830,3.601,-2.747,-5.249
3,143,0.355,-0.537,-0.825,3.113,-2.563,-3.845
3,144,0.349,-0.534,-0.820,1.953,-1.282,-1.892
3,145,0.346,-0.535,-0.823,1.099,0.427,0.671
3,146,0.346,-0.532,-0.825,0.488,2.747,3.174
3,147,0.345,-0.527,-0.830,-0.671,4.272,4.639
3,148,0.350,-0.521,-0.836,-0.793,5.066,5.615
3,149,0.354,-0.515,-0.839,-0.916,5.066,5.554
3,150,0.357,-0.507,-0.838,-0.977,3.784,4.272
3,151,0.362,-0.503,-0.841,-0.305,3.174,2.441
3,152,0.363,-0.501,-0.840,0.244,2.014,0.427
3,153,0.365,-0.500,-0.841,0.916,0.977,-1.221
3,154,0.363,-0.501,-0.841,2.014,-0.427,-2.686
3,155,0.358,-0.504,-0.841,2.502,-1.465,-3.235
3,156,0.351,-0.506,-0.840,2.808,-1.953,-3.235
3,157,0.348,-0.512,-0.842,3.052,-1.709,-2.380
3,158,0.345,-0.515,-0.840,2.441,-0.916,-1.343
3,159,0.342,-0.515,-0.838,0.977,0.244,0.183
3,160,0.347,-0.519,-0.839,0.854,2.075,2.075
3,161,0.349,-0.520,-0.835,0.000,3.052,3.479
3,162,0.356,-0.518,-0.833,-0.610,3.662,4.028
3,163,0.358,-0.515,-0.829,-0.244,3.113,4.028
3,164,0.365,-0.520,-0.832,-0.061,2.808,3.723
3,165,0.366,-0.518,-0.829,0.366,1.892,2.563
3,166,0.366,-0.522,-0.831,1.099,1.099,0.916
3,167,0.365,-0.519,-0.828,1.282,0.244,-0.610
3,168,0.361,-0.522,-0.828,1.892,-0.732,-1.648
3,169,0.359,-0.525,-0.832,2.197,-1.160,-2.014
3,170,0.351,-0.524,-0.828,2.258,-1.160,-2.136
3,171,0.349,-0.523,-0.829,1.709,-0.793,-1.770
3,172,0.346,-0.521,-0.831,1.526,0.122,-1.099
3,173,0.350,-0.523,-0.836,1.160,0.916,0.000
3,174,0.350,-0.518,-0.839,0.183,1.709,1.038
3,175,0.355,-0.515,-0.839,-0.122,3.052,2.258
8,0,0.248,-0.406,-0.779,-39.795,-6.470,-23.132
8,1,0.696,-0.539,-0.999,-26.489,-27.283,9.094
8,2,1.860,-0.827,-1.832,-27.466,24.963,8.728
8,3,0.515,0.067,-0.244,-333.862,93.262,-73.242
8,4,0.012,0.234,0.063,-382.263,79.895,-103.088
8,5,-0.200,0.324,0.104,-246.094,13.000,-91.736
8,6,-0.184,0.026,-0.178,129.333,-47.241,-89.172
8,7,-0.232,-0.292,-0.622,336.731,-113.464,-57.373
8,8,-0.272,-0.996,-1.376,524.292,-204.773,-37.170
8,9,-0.058,-1.337,-1.527,381.592,-286.133,-8.301
8,10,0.159,-0.874,-1.063,65.613,-274.475,-15.930
8,11,0.388,-0.880,-1.200,-88.257,-125.671,-59.204
8,12,0.341,-0.750,-1.034,-139.832,56.702,-75.623
8,13,0.223,-0.472,-0.691,-151.062,189.270,-10.742
8,14,0.237,-0.339,-0.605,-104.614,252.014,101.074
8,15,0.338,-0.422,-0.662,-16.479,258.850,138.794
8,16,0.452,-0.608,-0.863,1.770,212.463,103.943
8,17,0.463,-0.584,-0.917,-38.208,136.719,65.186
8,18,0.533,-0.524,-0.904,-70.679,54.688,64.270
8,19,0.647,-0.487,-0.878,-51.514,-14.465,97.534
8,20,0.669,-0.420,-0.805,-13.184,-53.467,110.718
8,21,0.601,-0.389,-0.772,7.202,-55.664,83.374
8,22,0.467,-0.384,-0.753,16.541,-36.560,43.640
8,23,0.400,-0.421,-0.811,26.855,-15.137,22.888
8,24,0.387,-0.455,-0.843,40.588,-1.709,13.855
8,25,0.368,-0.500,-0.896,38.696,0.244,-11.658
8,26,0.286,-0.528,-0.934,21.973,-9.888,-45.654
8,27,0.214,-0.544,-0.950,15.259,-29.236,-60.913
8,28,0.174,-0.530,-0.896,23.315,-46.875,-53.162
8,29,0.180,-0.511,-0.828,26.733,-56.091,-44.678
8,30,0.205,-0.503,-0.807,14.282,-51.331,-48.096
8,31,0.220,-0.497,-0.808,1.343,-33.203,-50.232
8,32,0.279,-0.531,-0.879,-5.249,-8.423,-38.208
8,33,0.336,-0.538,-0.914,-9.277,15.015,-15.198
8,34,0.381,-0.541,-0.927,-10.559,30.090,4.944
8,35,0.392,-0.521,-0.897,-11.536,33.020,17.334
8,36,0.391,-0.477,-0.837,-12.817,25.879,26.978
8,37,0.394,-0.441,-0.795,-11.841,17.578,35.156
8,38,0.395,-0.428,-0.789,-6.531,13.855,38.208
8,39,0.386,-0.446,-0.823,0.610,13.123,34.363
