ShotID,Time,aX,aY,aZ,gX,gY,gZ
1,98,-0.126,-0.708,-0.745,18.188,22.827,28.076
1,99,-0.125,-0.708,-0.747,10.498,27.466,35.767
1,100,-0.125,-0.710,-0.751,5.249,30.762,39.917
1,101,-0.127,-0.712,-0.756,4.028,31.494,39.795
1,102,-0.128,-0.709,-0.754,3.540,29.846,37.476
1,103,-0.131,-0.708,-0.753,0.793,27.832,35.400
1,104,-0.134,-0.707,-0.750,-4.822,26.428,34.241
1,105,-0.137,-0.703,-0.748,-10.071,25.940,33.508
1,106,-0.141,-0.701,-0.746,-10.498,25.146,31.860
1,107,-0.145,-0.704,-0.751,-5.737,23.010,29.114
1,108,-0.147,-0.705,-0.754,0.977,19.531,24.719
1,109,-0.147,-0.704,-0.757,5.188,15.137,19.592
1,110,-0.145,-0.698,-0.754,5.432,10.925,14.282
1,111,-0.141,-0.695,-0.754,3.357,7.568,8.606
1,112,-0.138,-0.695,-0.756,-0.854,3.113,2.441
1,113,-0.133,-0.699,-0.761,-5.249,-1.465,-2.930
1,114,-0.129,-0.701,-0.764,-8.423,-6.104,-8.179
2,0,-0.021,0.187,0.081,-5.859,-4.150,6.348
2,1,-0.047,0.290,0.212,134.644,39.185,-29.175
2,2,-0.476,-1.357,-1.793,310.364,89.905,-56.702
2,3,-0.589,-1.767,-2.589,-106.934,32.288,25.879
2,4,0.281,-1.650,-1.845,-822.571,-96.558,112.061
2,5,-0.052,-3.128,-1.587,-596.924,-141.907,-7.935
2,6,-1.075,-3.619,-2.295,167.053,-219.788,-45.410
2,7,-0.239,-1.019,-0.744,562.073,-302.307,125.305
2,8,-0.034,-0.203,-0.193,507.996,-226.257,230.774
2,9,-0.047,0.066,0.024,362.488,-63.354,294.678
2,10,0.045,0.264,0.221,266.663,72.388,348.877
2,11,0.193,0.464,0.380,347.656,109.497,325.806
2,12,0.171,0.426,0.249,586.975,42.297,214.233
2,13,0.028,0.200,0.018,805.542,-20.386,91.003
2,14,-0.075,-0.016,-0.082,835.999,-12.817,30.151
2,15,-0.079,-0.166,-0.066,678.772,29.419,39.307
2,16,-0.061,-0.186,0.006,428.223,52.979,77.881
2,17,-0.031,-0.116,0.081,176.636,50.049,112.183
2,18,-0.028,-0.068,0.048,5.188,52.002,105.896
2,19,-0.033,-0.102,-0.096,-93.872,92.773,48.340
2,20,-0.021,-0.260,-0.453,-212.952,154.602,-28.320
2,21,0.002,-0.367,-0.902,-481.812,199.463,-96.375
2,22,0.078,-0.317,-1.220,-923.462,204.651,-173.401
2,23,0.081,-0.551,-1.693,-1341.919,153.992,-277.161
2,24,-0.223,-1.879,-2.452,-1604.919,30.396,-360.657
2,25,-1.067,-3.660,-2.084,-1455.566,-163.269,-317.261
2,26,-0.527,-1.656,-0.881,-582.581,-344.910,-83.374
2,27,-0.158,-0.941,-0.633,110.779,-285.583,81.116
2,28,-0.130,-0.733,-0.573,271.545,-52.002,142.090
2,29,-0.124,-0.190,-0.243,293.091,194.763,181.213
2,30,-0.069,-0.042,-0.215,440.674,379.822,186.523
2,31,-0.077,-0.583,-0.876,697.388,429.382,146.912
2,32,-0.063,-0.991,-1.517,833.984,285.339,119.629
2,33,-0.037,-0.677,-1.135,676.270,54.382,90.088
2,34,-0.126,-0.467,-0.771,398.987,-70.801,17.395
2,35,-0.188,-0.377,-0.571,126.770,-92.224,-42.480
2,36,-0.149,-0.234,-0.372,-149.597,-91.858,-58.899
2,37,-0.143,-0.367,-0.618,-345.154,-66.650,-63.538
2,38,-0.148,-0.589,-0.927,-522.644,-11.658,-81.116
2,39,-0.166,-0.922,-1.137,-649.658,16.235,-116.699
2,40,-0.214,-1.066,-1.001,-605.469,-28.564,-144.226
2,41,-0.170,-0.806,-0.648,-385.193,-104.126,-133.240
2,42,-0.132,-0.748,-0.590,-118.469,-132.568,-90.210
2,43,-0.119,-0.799,-0.659,62.256,-88.989,-33.447
2,44,-0.082,-0.684,-0.575,142.822,-5.005,27.222
2,45,-0.070,-0.649,-0.591,207.825,75.989,71.594
2,46,-0.063,-0.716,-0.750,285.583,112.793,87.280
2,47,-0.055,-0.790,-0.942,323.914,96.375,73.975
2,48,-0.048,-0.741,-0.955,272.644,48.828,37.781
2,49,-0.066,-0.632,-0.842,156.494,0.183,-7.385
2,50,-0.100,-0.592,-0.761,34.607,-31.616,-45.471
2,51,-0.115,-0.548,-0.673,-76.965,-43.701,-60.730
2,52,-0.114,-0.598,-0.703,-152.405,-40.588,-56.213
2,53,-0.097,-0.706,-0.794,-191.895,-32.654,-42.603
2,54,-0.084,-0.823,-0.868,-192.078,-28.137,-33.447
2,55,-0.080,-0.839,-0.833,-147.400,-31.311,-30.090
2,56,-0.090,-0.736,-0.700,-61.890,-36.926,-25.574
2,57,-0.113,-0.644,-0.622,37.720,-29.968,-14.709
2,58,-0.141,-0.631,-0.646,104.736,-5.859,7.324
2,59,-0.158,-0.696,-0.756,110.168,24.780,37.659
2,60,-0.157,-0.742,-0.836,66.406,43.640,61.218
2,61,-0.155,-0.743,-0.853,17.822,42.603,58.289
2,62,-0.171,-0.707,-0.811,-0.305,25.269,29.053
2,63,-0.190,-0.643,-0.733,3.540,1.099,-2.930
2,64,-0.202,-0.617,-0.694,3.418,-12.512,-18.982
2,65,-0.195,-0.647,-0.718,-21.790,-8.118,-11.169
2,66,-0.168,-0.716,-0.779,-61.707,7.751,9.949
2,67,-0.132,-0.757,-0.802,-78.369,21.667,25.879
2,68,-0.105,-0.735,-0.768,-42.480,24.841,24.475
2,69,-0.098,-0.691,-0.736,30.640,19.043,13.489
2,70,-0.103,-0.680,-0.746,85.999,13.306,9.155
2,71,-0.103,-0.667,-0.747,80.078,14.587,18.066
2,72,-0.092,-0.675,-0.764,30.518,21.973,30.212
2,73,-0.084,-0.712,-0.807,-14.832,25.879,31.067
2,74,-0.084,-0.714,-0.807,-28.748,19.226,16.296
2,75,-0.097,-0.691,-0.779,-12.329,2.930,-4.883
2,76,-0.113,-0.674,-0.752,6.714,-13.184,-17.456
2,77,-0.120,-0.672,-0.741,5.066,-18.555,-15.808
2,78,-0.117,-0.695,-0.753,-12.146,-11.780,-5.432
2,79,-0.112,-0.712,-0.768,-22.827,-2.014,2.686
2,80,-0.116,-0.713,-0.773,-10.193,1.831,3.296
2,81,-0.129,-0.702,-0.769,16.724,-1.526,-1.709
2,82,-0.144,-0.691,-0.760,33.691,-7.935,-6.042
2,83,-0.155,-0.683,-0.750,27.466,-10.254,-6.653
2,84,-0.159,-0.683,-0.748,7.080,-6.958,-4.822
2,85,-0.157,-0.692,-0.757,-10.254,-2.014,-3.784
2,86,-0.149,-0.700,-0.765,-13.672,-0.916,-5.310
2,87,-0.144,-0.705,-0.766,-4.700,-3.784,-7.812
2,88,-0.139,-0.706,-0.764,6.836,-7.935,-8.423
2,89,-0.129,-0.698,-0.750,12.329,-7.324,-5.615
2,90,-0.118,-0.693,-0.744,11.841,-1.343,-1.160
2,91,-0.111,-0.697,-0.753,8.606,6.287,3.540
2,92,-0.108,-0.700,-0.761,4.761,10.315,7.568
2,93,-0.106,-0.707,-0.772,4.456,8.911,8.850
2,94,-0.109,-0.706,-0.769,5.920,4.333,7.080
2,95,-0.113,-0.700,-0.761,6.348,1.526,4.822
2,96,-0.117,-0.693,-0.753,3.967,2.319,3.662
2,97,-0.118,-0.688,-0.748,-1.221,4.639,5.737
2,98,-0.121,-0.700,-0.757,-5.554,6.470,9.216
2,99,-0.124,-0.713,-0.769,-6.042,6.348,11.597
2,100,-0.129,-0.708,-0.765,-1.160,5.249,10.986
2,101,-0.137,-0.703,-0.760,5.554,4.639,8.362
2,102,-0.142,-0.686,-0.747,7.263,5.493,7.263
2,103,-0.147,-0.686,-0.751,4.883,6.836,8.240
2,104,-0.146,-0.689,-0.755,0.427,7.324,9.644
2,105,-0.144,-0.700,-0.766,-1.465,6.287,8.728
2,106,-0.137,-0.703,-0.768,-0.183,3.906,5.432
2,107,-0.131,-0.701,-0.764,2.686,1.648,1.160
2,108,-0.125,-0.698,-0.759,3.540,0.244,-1.343
2,109,-0.119,-0.692,-0.751,1.038,-0.244,-1.343
2,110,-0.115,-0.697,-0.755,-0.854,0.732,0.061
2,111,-0.113,-0.706,-0.763,-0.305,1.465,0.977
2,112,-0.113,-0.706,-0.764,1.831,0.977,0.671
2,113,-0.113,-0.703,-0.762,4.700,0.061,-0.366
2,114,-0.114,-0.696,-0.756,6.104,-1.465,-1.404
5,0,-0.049,-0.121,-0.221,-18.433,-5.676,10.803
5,1,-0.024,0.109,0.046,27.893,6.104,-2.686
5,2,-0.242,-1.256,-1.527,166.931,48.157,-42.847
5,3,-0.314,-3.390,-3.621,-104.858,14.343,10.071
5,4,-0.475,-2.869,-1.833,-617.981,-65.247,72.876
5,5,-0.253,-1.077,-0.519,-181.946,-138.489,55.847
5,6,-0.050,-0.157,-0.098,358.582,-192.810,64.270
5,7,-0.038,-0.016,-0.039,491.943,-167.603,104.980
5,8,-0.055,0.017,0.000,428.589,-79.102,167.480
5,9,-0.012,0.196,0.151,328.064,22.095,245.544
5,10,0.118,0.351,0.282,342.041,76.355,260.071
5,11,0.113,0.359,0.243,497.925,61.279,179.626
5,12,0.014,0.224,0.109,660.522,31.372,78.979
5,13,-0.081,-0.038,-0.091,712.097,46.814,20.386
5,14,-0.107,-0.259,-0.229,593.323,99.243,16.602
5,15,-0.100,-0.332,-0.285,315.491,144.409,50.720
5,16,-0.096,-0.534,-0.913,-42.419,160.706,87.341
5,17,-0.026,-0.527,-1.636,-576.111,176.941,65.063
5,18,0.167,-0.422,-1.961,-1242.920,162.354,-64.270
5,19,-0.017,-1.480,-2.719,-1654.724,29.480,-268.799
5,20,-0.850,-3.018,-2.062,-1613.281,-244.202,-379.272
5,21,-0.492,-0.946,-0.477,-858.276,-503.052,-244.385
5,22,-0.187,-0.055,-0.076,-241.821,-461.609,-66.528
5,23,-0.076,0.073,0.016,-122.559,-195.618,50.476
5,24,-0.159,-0.140,-0.157,-34.607,118.225,108.948
5,25,-0.263,-0.538,-0.433,153.809,370.728,120.728
5,26,-0.312,-1.029,-0.963,458.740,478.333,125.000
5,27,-0.167,-1.170,-1.344,782.593,380.737,133.850
5,28,-0.107,-1.021,-1.513,982.361,136.719,111.023
5,29,-0.195,-0.900,-1.411,923.096,-65.063,54.504
5,30,-0.208,-0.574,-0.813,591.370,-125.854,21.362
5,31,-0.151,-0.261,-0.333,196.106,-96.924,29.114
5,32,-0.103,-0.185,-0.293,-52.917,-48.279,34.241
5,33,-0.080,-0.211,-0.420,-205.933,12.329,13.672
5,34,-0.054,-0.402,-0.686,-326.782,77.026,-43.030
5,35,-0.119,-0.757,-1.075,-439.636,87.158,-117.188
5,36,-0.214,-1.028,-1.232,-550.537,9.766,-149.780
5,37,-0.221,-0.995,-0.978,-558.655,-91.492,-127.075
5,38,-0.198,-0.925,-0.764,-412.231,-139.465,-87.219
5,39,-0.143,-0.812,-0.606,-200.378,-122.009,-44.983
5,40,-0.087,-0.546,-0.394,-6.042,-54.382,-1.221
5,41,-0.101,-0.510,-0.415,170.288,43.396,31.555
